file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,pau,117.886,118.159,0.272,1200.470,51.956,
engl310_01_20min,cl,118.159,118.266,0.108,1200.470,57.308,
engl310_01_20min,in,118.266,118.651,0.385,1200.470,64.821,
engl310_01_20min,uh,118.651,118.957,0.306,1200.470,82.499,
engl310_01_20min,pau,118.957,119.086,0.129,1200.470,45.506,
engl310_01_20min,np,119.086,119.651,0.565,1200.470,81.910,
engl310_01_20min,pau,119.651,119.928,0.277,1200.470,55.757,
engl310_01_20min,np,119.928,120.827,0.899,1200.470,80.945,
engl310_01_20min,ex,120.827,121.120,0.293,1200.470,54.893,
engl310_01_20min,in,121.120,121.551,0.431,1200.470,59.015,
engl310_01_20min,uh,121.551,121.923,0.372,1200.470,81.034,
engl310_01_20min,np,121.923,122.794,0.872,1200.470,79.534,
engl310_01_20min,pau,122.794,123.180,0.386,1200.470,53.851,
engl310_01_20min,np,123.180,123.995,0.814,1200.470,78.894,
engl310_01_20min,pau,123.995,124.346,0.351,1200.470,49.476,
engl310_01_20min,np,124.346,126.158,1.812,1200.470,81.017,
engl310_01_20min,in,126.158,126.623,0.465,1200.470,59.222,
engl310_01_20min,uh,126.623,126.950,0.327,1200.470,82.171,
engl310_01_20min,np,126.950,130.143,3.193,1200.470,80.293,
engl310_01_20min,pau,130.143,131.379,1.236,1200.470,53.088,
engl310_01_20min,cl,131.379,131.425,0.046,1200.470,71.894,
engl310_01_20min,pau,131.425,131.603,0.178,1200.470,49.650,
engl310_01_20min,in,131.603,131.963,0.360,1200.470,59.055,
engl310_01_20min,pau,131.963,132.065,0.102,1200.470,54.153,
engl310_01_20min,uh,132.065,132.289,0.224,1200.470,77.132,
engl310_01_20min,np,132.289,133.270,0.981,1200.470,81.224,
engl310_01_20min,lip,133.270,133.340,0.070,1200.470,53.059,
engl310_01_20min,uh,133.340,133.672,0.333,1200.470,82.520,
engl310_01_20min,np,133.672,135.730,2.057,1200.470,78.285,
engl310_01_20min,pau,135.730,135.797,0.068,1200.470,48.447,
engl310_01_20min,in,135.797,136.117,0.320,1200.470,55.261,
engl310_01_20min,np,136.117,136.502,0.384,1200.470,77.559,
engl310_01_20min,uh,136.502,136.709,0.207,1200.470,80.620,
engl310_01_20min,np,136.709,139.134,2.425,1200.470,78.525,
engl310_01_20min,pau,139.134,139.355,0.221,1200.470,58.611,
engl310_01_20min,np,139.355,140.476,1.121,1200.470,80.844,
engl310_01_20min,in,140.476,140.743,0.267,1200.470,57.981,
engl310_01_20min,pau,140.743,140.815,0.072,1200.470,46.910,
engl310_01_20min,np,140.815,142.569,1.754,1200.470,79.825,
engl310_01_20min,pau,142.569,142.884,0.314,1200.470,52.807,
engl310_01_20min,in,142.884,143.397,0.514,1200.470,59.105,
engl310_01_20min,uh,143.397,143.598,0.201,1200.470,70.625,
engl310_01_20min,pau,143.598,143.677,0.079,1200.470,48.095,
engl310_01_20min,np,143.677,144.039,0.362,1200.470,81.098,
engl310_01_20min,uh,144.039,144.290,0.250,1200.470,83.681,
engl310_01_20min,np,144.290,145.103,0.814,1200.470,82.962,
engl310_01_20min,uh,145.103,145.440,0.337,1200.470,80.626,
engl310_01_20min,np,145.440,146.685,1.245,1200.470,80.673,
engl310_01_20min,uh,146.685,146.874,0.189,1200.470,81.457,
engl310_01_20min,pau,146.874,147.370,0.496,1200.470,59.262,
engl310_01_20min,np,147.370,150.132,2.763,1200.470,78.735,
engl310_01_20min,pau,150.132,150.208,0.076,1200.470,61.330,
engl310_01_20min,in,150.208,150.576,0.368,1200.470,49.722,
engl310_01_20min,pau,150.576,150.667,0.091,1200.470,44.587,
engl310_01_20min,np,150.667,151.318,0.652,1200.470,80.795,
engl310_01_20min,pau,151.318,152.276,0.958,1200.470,48.073,
engl310_01_20min,lip,152.276,152.320,0.044,1200.470,58.135,
engl310_01_20min,pau,152.320,152.452,0.132,1200.470,42.878,
engl310_01_20min,np,152.452,153.616,1.164,1200.470,78.387,
engl310_01_20min,pau,153.616,153.851,0.234,1200.470,47.895,
engl310_01_20min,in,153.851,154.239,0.388,1200.470,57.488,
engl310_01_20min,uh,154.239,154.681,0.442,1200.470,79.395,
engl310_01_20min,pau,154.681,154.773,0.093,1200.470,43.318,
engl310_01_20min,other,154.773,154.846,0.072,1200.470,69.193,
engl310_01_20min,pau,154.846,155.138,0.292,1200.470,43.423,
engl310_01_20min,np,155.138,157.807,2.669,1200.470,79.541,
engl310_01_20min,pau,157.807,158.846,1.039,1200.470,49.588,
engl310_01_20min,cl,158.846,158.917,0.070,1200.470,72.811,
engl310_01_20min,pau,158.917,158.981,0.064,1200.470,42.869,
engl310_01_20min,uh,158.981,159.176,0.195,1200.470,80.247,
engl310_01_20min,np,159.176,161.691,2.515,1200.470,78.429,
engl310_01_20min,pau,161.691,162.046,0.356,1200.470,48.648,
engl310_01_20min,np,162.046,162.844,0.798,1200.470,78.916,
engl310_01_20min,pau,162.844,162.979,0.135,1200.470,57.331,
engl310_01_20min,in,162.979,163.570,0.591,1200.470,60.467,
engl310_01_20min,uh,163.570,163.763,0.193,1200.470,81.366,
engl310_01_20min,np,163.763,165.369,1.606,1200.470,80.959,
engl310_01_20min,pau,165.369,165.498,0.129,1200.470,51.398,
engl310_01_20min,in,165.498,165.868,0.370,1200.470,52.615,
engl310_01_20min,uh,165.868,166.513,0.645,1200.470,76.696,
engl310_01_20min,other,166.513,167.002,0.489,1200.470,57.226,
engl310_01_20min,pau,167.002,167.067,0.064,1200.470,43.590,
engl310_01_20min,np,167.067,168.156,1.090,1200.470,79.896,
engl310_01_20min,um,168.156,168.672,0.516,1200.470,79.165,
engl310_01_20min,np,168.672,171.362,2.690,1200.470,79.149,
engl310_01_20min,in,171.362,171.643,0.281,1200.470,55.956,
engl310_01_20min,np,171.643,172.440,0.797,1200.470,76.383,
engl310_01_20min,in,172.440,172.664,0.225,1200.470,53.714,
engl310_01_20min,pau,172.664,172.721,0.057,1200.470,46.668,
engl310_01_20min,np,172.721,174.931,2.209,1200.470,78.982,
engl310_01_20min,pau,174.931,175.148,0.217,1200.470,50.272,
engl310_01_20min,np,175.148,175.495,0.347,1200.470,80.894,
