file, segment, start, end, dur, filedur, mean_intensity
Track15_noNarrator,np,260.785,262.978,2.193,358.182,77.921,
Track15_noNarrator,pau,262.978,263.061,0.083,358.182,36.782,
Track15_noNarrator,np,263.061,264.442,1.381,358.182,77.868,
Track15_noNarrator,pau,264.442,264.481,0.039,358.182,31.941,
Track15_noNarrator,in,264.481,264.899,0.418,358.182,41.344,
Track15_noNarrator,pau,264.899,264.935,0.036,358.182,35.821,
Track15_noNarrator,um,264.935,265.340,0.406,358.182,76.970,
Track15_noNarrator,ex,265.340,265.509,0.169,358.182,40.576,
Track15_noNarrator,np,265.509,266.413,0.904,358.182,76.223,
Track15_noNarrator,pau,266.413,266.539,0.126,358.182,33.100,
Track15_noNarrator,np,266.539,267.338,0.798,358.182,79.792,
Track15_noNarrator,pau,267.338,267.417,0.079,358.182,31.855,
Track15_noNarrator,np,267.417,269.486,2.069,358.182,78.406,
Track15_noNarrator,pau,269.486,269.940,0.454,358.182,23.873,
Track15_noNarrator,in,269.940,270.823,0.883,358.182,41.492,
Track15_noNarrator,pau,270.823,270.878,0.055,358.182,36.461,
Track15_noNarrator,np,270.878,271.207,0.329,358.182,79.462,
Track15_noNarrator,um,271.207,271.692,0.484,358.182,77.936,
Track15_noNarrator,np,271.692,272.847,1.155,358.182,78.040,
Track15_noNarrator,pau,272.847,272.909,0.062,358.182,33.542,
Track15_noNarrator,um,272.909,273.285,0.376,358.182,78.210,
Track15_noNarrator,ex,273.285,273.827,0.543,358.182,48.217,
Track15_noNarrator,pau,273.827,273.858,0.031,358.182,52.469,
Track15_noNarrator,np,273.858,274.600,0.742,358.182,79.706,
Track15_noNarrator,pau,274.600,274.704,0.104,358.182,35.059,
Track15_noNarrator,np,274.704,276.397,1.693,358.182,78.599,
Track15_noNarrator,pau,276.397,276.426,0.029,358.182,32.412,
Track15_noNarrator,in,276.426,276.828,0.402,358.182,40.554,
Track15_noNarrator,np,276.828,277.901,1.073,358.182,77.618,
Track15_noNarrator,pau,277.901,277.986,0.084,358.182,31.094,
Track15_noNarrator,np,277.986,278.213,0.227,358.182,79.042,
Track15_noNarrator,pau,278.213,278.263,0.050,358.182,29.628,
Track15_noNarrator,in,278.263,278.616,0.353,358.182,41.937,
Track15_noNarrator,pau,278.616,278.690,0.075,358.182,26.419,
Track15_noNarrator,np,278.690,280.560,1.869,358.182,77.718,
Track15_noNarrator,pau,280.560,280.616,0.057,358.182,32.408,
Track15_noNarrator,in,280.616,281.195,0.578,358.182,37.959,
Track15_noNarrator,pau,281.195,281.326,0.131,358.182,22.625,
Track15_noNarrator,np,281.326,281.726,0.400,358.182,80.338,
Track15_noNarrator,uh,281.726,282.055,0.329,358.182,80.029,
Track15_noNarrator,np,282.055,283.344,1.289,358.182,79.586,
Track15_noNarrator,uh,283.344,283.503,0.159,358.182,78.430,
Track15_noNarrator,uh,283.503,283.732,0.228,358.182,73.967,
Track15_noNarrator,pau,283.732,283.983,0.251,358.182,38.107,
Track15_noNarrator,np,283.983,285.937,1.954,358.182,76.130,
Track15_noNarrator,in,285.937,286.410,0.473,358.182,45.444,
Track15_noNarrator,pau,286.410,286.450,0.041,358.182,35.762,
Track15_noNarrator,uh,286.450,286.567,0.117,358.182,75.073,
Track15_noNarrator,np,286.567,287.557,0.990,358.182,77.146,
Track15_noNarrator,pau,287.557,287.748,0.191,358.182,30.154,
Track15_noNarrator,np,287.748,290.418,2.670,358.182,77.945,
Track15_noNarrator,pau,290.418,291.006,0.588,358.182,30.262,
Track15_noNarrator,np,291.006,295.090,4.084,358.182,76.497,
Track15_noNarrator,in,295.090,295.506,0.416,358.182,44.977,
Track15_noNarrator,pau,295.506,295.545,0.039,358.182,28.350,
Track15_noNarrator,np,295.545,297.416,1.871,358.182,79.263,
Track15_noNarrator,pau,297.416,297.800,0.384,358.182,21.086,
Track15_noNarrator,in,297.800,298.308,0.509,358.182,41.834,
Track15_noNarrator,pau,298.308,298.349,0.041,358.182,31.774,
Track15_noNarrator,um,298.349,298.673,0.324,358.182,78.480,
Track15_noNarrator,np,298.673,300.314,1.641,358.182,78.557,
Track15_noNarrator,in,300.314,300.741,0.428,358.182,36.577,
Track15_noNarrator,pau,300.741,300.801,0.060,358.182,27.907,
Track15_noNarrator,np,300.801,303.901,3.100,358.182,78.051,
Track15_noNarrator,in,303.901,304.217,0.316,358.182,44.016,
Track15_noNarrator,pau,304.217,304.419,0.203,358.182,28.628,
Track15_noNarrator,np,304.419,306.283,1.863,358.182,78.513,
Track15_noNarrator,pau,306.283,306.320,0.037,358.182,41.941,
Track15_noNarrator,np,306.320,306.690,0.369,358.182,79.130,
Track15_noNarrator,uh,306.690,306.973,0.284,358.182,79.136,
Track15_noNarrator,uh,306.973,307.171,0.198,358.182,63.860,
Track15_noNarrator,uh,307.171,307.386,0.215,358.182,67.496,
Track15_noNarrator,np,307.386,308.815,1.429,358.182,79.152,
Track15_noNarrator,in,308.815,309.141,0.326,358.182,44.685,
Track15_noNarrator,pau,309.141,309.248,0.107,358.182,26.433,
Track15_noNarrator,np,309.248,310.472,1.223,358.182,78.450,
Track15_noNarrator,pau,310.472,310.613,0.141,358.182,38.516,
Track15_noNarrator,np,310.613,311.207,0.595,358.182,77.793,
