"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)","pints","pintsrate","speaker","session"
"engl310_01_20min","in",84.4,84.752,0.352,1200.47,"58.637",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",84.752,84.834,0.082,1200.47,"50.097",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",87.017,87.356,0.339,1200.47,"46.855",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",87.356,87.745,0.39,1200.47,"59.399",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",87.745,88.128,0.383,1200.47,"80.087",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",88.128,88.215,0.086,1200.47,"55.659",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",90.035,90.299,0.263,1200.47,"80.599",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",90.299,90.403,0.104,1200.47,"57.704",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",91.114,91.549,0.434,1200.47,"57.261",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",91.549,91.895,0.346,1200.47,"80.446",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",92.818,93.222,0.404,1200.47,"60.930",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",93.222,93.542,0.321,1200.47,"81.794",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",93.895,94.176,0.282,1200.47,"76.763",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",97.053,97.199,0.146,1200.47,"49.216",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
