"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"Track15_noNarrator","np",133.889,134.479,0.591,358.182,77.662,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",134.479,134.539,0.06,358.182,31.781,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",134.539,137.817,3.278,358.182,78.076,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",137.817,138.323,0.506,358.182,39.898,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",138.323,138.37,0.047,358.182,28.278,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",138.37,138.752,0.382,358.182,78.137,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",138.752,138.793,0.041,358.182,39.357,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",138.793,139.118,0.326,358.182,79.746,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",139.118,139.246,0.128,358.182,34.771,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",139.246,140.235,0.989,358.182,79.256,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",140.235,140.415,0.18,358.182,79.718,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",140.415,143.071,2.656,358.182,77.843,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",143.071,143.338,0.267,358.182,41.3,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",143.338,145.616,2.277,358.182,77.86,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",145.616,146.098,0.483,358.182,23.023,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",146.098,146.435,0.337,358.182,43.793,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",146.435,146.515,0.079,358.182,24.774,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",146.515,146.819,0.305,358.182,80.142,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",146.819,147.186,0.366,358.182,78.43,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",147.186,149.983,2.797,358.182,79.277,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",149.983,150.031,0.049,358.182,40.581,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",150.031,152.045,2.014,358.182,75.995,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",152.045,152.677,0.632,358.182,43.903,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",152.677,152.724,0.047,358.182,31.306,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",152.724,153.157,0.433,358.182,77.569,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",153.157,153.186,0.029,358.182,34.998,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",153.186,155.51,2.324,358.182,77.862,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",155.51,155.833,0.322,358.182,78.869,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",155.833,157.642,1.809,358.182,80.662,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
